Epoch	Score
1	0.1899
2	0.2062
3	0.3943
4	0.6215
5	0.7433
6	0.8035
7	0.83
8	0.8523
9	0.8693
10	0.878
11	0.8907
12	0.9021
13	0.9063
14	0.9129
15	0.9188
16	0.927
17	0.9297
18	0.9356
19	0.9366
20	0.9425
21	0.9467
22	0.9483
23	0.9567
24	0.9565
25	0.962
26	0.9638
27	0.9686
28	0.9696
29	0.9723
30	0.9745
31	0.975
32	0.9764
33	0.9789
34	0.9788
35	0.9814
36	0.9816
37	0.9868
38	0.9853
39	0.9851
40	0.9867
41	0.9874
42	0.9884
43	0.9898
44	0.9891
45	0.9911
46	0.9921
47	0.9921
48	0.9911
49	0.9911
50	0.9926
51	0.9923
52	0.9933
53	0.9948
54	0.9942
55	0.9926
56	0.9926
57	0.9941
58	0.9949
59	0.9947
60	0.9945
61	0.9945
62	0.9957
63	0.995
64	0.9959
65	0.9957
66	0.995
67	0.9965
68	0.9957
69	0.9969
70	0.9945
71	0.9961
72	0.9969
73	0.9957
74	0.9964
75	0.9964
76	0.9971
77	0.9957
78	0.9965
79	0.9964
80	0.997
