Epoch	Score
1	0.1895
2	0.1909
3	0.1906
4	0.1907
5	0.1946
6	0.2185
7	0.2578
8	0.316
9	0.3815
10	0.4347
11	0.4704
12	0.5005
13	0.5307
14	0.5504
15	0.5686
16	0.5857
17	0.604
18	0.62
19	0.6345
20	0.6527
21	0.6638
22	0.6766
23	0.6861
24	0.6961
25	0.703
26	0.7105
27	0.7214
28	0.7305
29	0.7379
30	0.7443
31	0.7527
32	0.7595
33	0.7654
34	0.7698
35	0.7776
36	0.7779
37	0.784
38	0.787
39	0.8
40	0.7991
41	0.7997
42	0.8055
43	0.809
44	0.8078
45	0.8171
46	0.8172
47	0.8178
48	0.8241
49	0.827
50	0.8266
51	0.8387
52	0.8349
53	0.835
54	0.844
55	0.8402
56	0.845
57	0.8451
58	0.8484
59	0.8477
60	0.8529
61	0.8554
62	0.8555
63	0.8601
64	0.8615
65	0.8611
66	0.8643
67	0.8618
68	0.8674
69	0.8684
70	0.8692
71	0.8695
72	0.8682
73	0.8763
74	0.8763
75	0.8794
76	0.8781
77	0.8773
78	0.8753
79	0.8812
80	0.8869
