Epoch	Score
1	0.1874
2	0.1888
3	0.4032
4	0.6814
5	0.7866
6	0.8374
7	0.8569
8	0.8764
9	0.8925
10	0.8999
11	0.9132
12	0.9235
13	0.9276
14	0.9332
15	0.9372
16	0.9441
17	0.9474
18	0.9572
19	0.9534
20	0.9564
21	0.9588
22	0.9658
23	0.9663
24	0.9694
25	0.9674
26	0.9705
27	0.9723
28	0.9685
29	0.9676
30	0.9733
31	0.9741
32	0.9777
33	0.9821
34	0.977
35	0.9772
36	0.9772
37	0.9769
38	0.9813
39	0.98
40	0.9751
41	0.9795
42	0.9853
43	0.9791
44	0.9801
45	0.9825
46	0.9809
47	0.9802
48	0.9832
49	0.9815
50	0.9828
51	0.9842
52	0.9776
53	0.9795
54	0.9833
55	0.9863
56	0.9872
57	0.9819
58	0.9797
59	0.9829
60	0.9859
61	0.985
62	0.9875
63	0.9818
64	0.9839
65	0.9849
66	0.986
67	0.9872
68	0.9892
69	0.9878
70	0.9848
71	0.9838
72	0.9863
73	0.9846
74	0.9875
75	0.9838
76	0.9857
77	0.985
78	0.9833
79	0.9839
80	0.983
