Epoch	Score
1	0.1878
2	0.2718
3	0.5865
4	0.7528
5	0.8168
6	0.8547
7	0.8755
8	0.8885
9	0.9038
10	0.9166
11	0.9239
12	0.9326
13	0.9425
14	0.9513
15	0.9552
16	0.9597
17	0.964
18	0.9658
19	0.972
20	0.9723
21	0.9713
22	0.9775
23	0.9767
24	0.978
25	0.9802
26	0.9809
27	0.981
28	0.9839
29	0.9846
30	0.9827
31	0.9852
32	0.9834
33	0.9859
34	0.986
35	0.9871
36	0.9869
37	0.9872
38	0.9851
39	0.9876
40	0.9869
41	0.9883
42	0.9883
43	0.989
44	0.9882
45	0.9883
46	0.9885
47	0.9866
48	0.9905
49	0.9879
50	0.9891
51	0.9898
52	0.9908
53	0.9897
54	0.9904
55	0.992
56	0.9889
57	0.9887
58	0.9906
59	0.9901
60	0.991
61	0.9901
62	0.9899
63	0.9928
64	0.9921
65	0.9915
66	0.9907
67	0.9921
68	0.9921
69	0.9919
70	0.9929
71	0.9917
72	0.993
73	0.9928
74	0.9911
75	0.9917
76	0.9912
77	0.9923
78	0.9914
79	0.9895
80	0.9925
