Epoch	Score
1	0.1847
2	0.2157
3	0.3558
4	0.4582
5	0.5066
6	0.5257
7	0.5491
8	0.5598
9	0.5747
10	0.5872
11	0.5938
12	0.6078
13	0.6107
14	0.6194
15	0.6243
16	0.6339
17	0.6404
18	0.6504
19	0.6618
20	0.6695
21	0.6699
22	0.6846
23	0.6936
24	0.7017
25	0.7072
26	0.7085
27	0.7226
28	0.7283
29	0.7322
30	0.7291
31	0.7379
32	0.7528
33	0.7524
34	0.7568
35	0.7589
36	0.7692
37	0.7735
38	0.7667
39	0.7836
40	0.7755
41	0.7839
42	0.7885
43	0.7849
44	0.7914
45	0.7878
46	0.7909
47	0.7973
48	0.8025
49	0.7962
50	0.8011
