Epoch	Score
1	0.2884
2	0.6158
3	0.742
4	0.7906
5	0.8177
6	0.8333
7	0.8513
8	0.8606
9	0.8676
10	0.8774
11	0.8778
12	0.8862
13	0.8885
14	0.9016
15	0.8997
16	0.9062
17	0.9088
18	0.9074
19	0.9115
20	0.9213
21	0.9162
22	0.9179
23	0.9181
24	0.919
25	0.9204
26	0.9286
27	0.9218
28	0.9264
29	0.9299
30	0.9278
31	0.9272
32	0.9262
33	0.9307
34	0.927
35	0.9257
36	0.9287
37	0.9307
38	0.9329
39	0.9287
40	0.9304
41	0.9312
42	0.9226
43	0.9243
44	0.9315
45	0.9269
46	0.9247
47	0.9252
48	0.9271
49	0.9293
50	0.9291
