Epoch	Score
1	0.1914
2	0.4131
3	0.7002
4	0.8068
5	0.8448
6	0.8676
7	0.8867
8	0.9064
9	0.9165
10	0.9225
11	0.936
12	0.9429
13	0.9396
14	0.9516
15	0.9527
16	0.9652
17	0.9572
18	0.9663
19	0.9675
20	0.9734
21	0.977
22	0.9737
23	0.9779
24	0.9761
25	0.9738
26	0.9773
27	0.9748
28	0.982
29	0.9776
30	0.9815
31	0.9822
32	0.98
33	0.9838
34	0.9869
35	0.987
36	0.9797
37	0.9806
38	0.9859
39	0.9786
40	0.9831
41	0.9875
42	0.9861
43	0.9862
44	0.989
45	0.9818
46	0.9841
47	0.9859
48	0.9893
49	0.9894
50	0.989
51	0.9874
52	0.9878
53	0.9885
54	0.9845
55	0.9915
56	0.9879
57	0.992
58	0.9861
59	0.9866
60	0.9875
61	0.9898
62	0.9928
63	0.9877
64	0.9861
65	0.9886
66	0.9885
67	0.9869
68	0.9868
69	0.9889
70	0.992
71	0.9896
72	0.9901
73	0.9867
74	0.9844
75	0.9899
76	0.9925
77	0.9921
78	0.9923
79	0.9893
80	0.9917
