Epoch	Score
1	0.212
2	0.4144
3	0.6051
4	0.6909
5	0.7431
6	0.7838
7	0.7963
8	0.8152
9	0.8244
10	0.8327
11	0.8348
12	0.8488
13	0.853
14	0.8499
15	0.8525
16	0.8602
17	0.8637
18	0.8618
19	0.8607
20	0.8433
21	0.8545
22	0.8456
23	0.8496
24	0.8552
25	0.8518
26	0.8426
27	0.8318
28	0.835
29	0.8155
30	0.8184
31	0.8088
32	0.8038
33	0.7816
34	0.7922
35	0.7852
36	0.7802
37	0.7835
38	0.7562
39	0.7341
40	0.7404
41	0.7429
42	0.7147
43	0.7443
44	0.7191
45	0.6731
46	0.6323
47	0.6741
48	0.6383
49	0.6675
50	0.6311
