Epoch	Score
1	0.1952
2	0.3644
3	0.6084
4	0.7402
5	0.7866
6	0.8205
7	0.8397
8	0.857
9	0.8662
10	0.8755
11	0.8865
12	0.8903
13	0.9028
14	0.9081
15	0.9208
16	0.9246
17	0.9207
18	0.9314
19	0.9305
20	0.9373
21	0.9441
22	0.9445
23	0.9487
24	0.9503
25	0.9514
26	0.9496
27	0.9514
28	0.9569
29	0.9581
30	0.9567
31	0.9616
32	0.9547
33	0.962
34	0.9588
35	0.9673
36	0.968
37	0.9667
38	0.9671
39	0.9683
40	0.9716
41	0.9685
42	0.9698
43	0.9729
44	0.9725
45	0.9694
46	0.9691
47	0.9715
48	0.9716
49	0.9733
50	0.9672
