Epoch	Score
1	0.3332
2	0.6809
3	0.7757
4	0.8162
5	0.8481
6	0.8593
7	0.8807
8	0.8899
9	0.9019
10	0.9074
11	0.9192
12	0.9207
13	0.9267
14	0.941
15	0.9349
16	0.9385
17	0.9471
18	0.9509
19	0.9499
20	0.9551
21	0.9575
22	0.9608
23	0.9629
24	0.9674
25	0.9597
26	0.9666
27	0.9678
28	0.9678
29	0.9637
30	0.9672
31	0.9708
32	0.9679
33	0.9753
34	0.9694
35	0.9723
36	0.9725
37	0.9761
38	0.9739
39	0.979
40	0.9772
41	0.977
42	0.9797
43	0.9759
44	0.9773
45	0.9763
46	0.9812
47	0.9808
48	0.9826
49	0.9768
50	0.9804
