Epoch	Score
1	0.1894
2	0.2618
3	0.5922
4	0.7458
5	0.8109
6	0.8391
7	0.8619
8	0.8795
9	0.8904
10	0.9022
11	0.9135
12	0.9202
13	0.9334
14	0.9332
15	0.9421
16	0.9427
17	0.9517
18	0.9572
19	0.9585
20	0.9626
21	0.967
22	0.965
23	0.9671
24	0.9731
25	0.9719
26	0.9707
27	0.9751
28	0.9756
29	0.9786
30	0.9763
31	0.9781
32	0.9783
33	0.9804
34	0.9804
35	0.9796
36	0.9839
37	0.9824
38	0.9809
39	0.9808
40	0.9857
41	0.9856
42	0.9802
43	0.9843
44	0.9858
45	0.982
46	0.9875
47	0.9885
48	0.9836
49	0.9876
50	0.987
51	0.9875
52	0.9886
53	0.986
54	0.9856
55	0.9878
56	0.9898
57	0.9894
58	0.9878
59	0.9872
60	0.9898
61	0.9877
62	0.9882
63	0.9888
64	0.9906
65	0.9853
66	0.9881
67	0.9894
68	0.9883
69	0.9905
70	0.9887
71	0.9906
72	0.993
73	0.9868
74	0.9897
75	0.9896
76	0.987
77	0.9919
78	0.9893
79	0.9879
80	0.99
