Epoch	Score
1	0.2971
2	0.6478
3	0.7619
4	0.8147
5	0.8429
6	0.8586
7	0.8744
8	0.8846
9	0.8968
10	0.9036
11	0.9157
12	0.9209
13	0.9296
14	0.9321
15	0.9373
16	0.9369
17	0.9484
18	0.9479
19	0.9487
20	0.9514
21	0.9593
22	0.9542
23	0.9612
24	0.961
25	0.9598
26	0.9647
27	0.9615
28	0.9686
29	0.9633
30	0.9671
31	0.9689
32	0.9715
33	0.9686
34	0.9712
35	0.9728
36	0.9715
37	0.9728
38	0.9727
39	0.9724
40	0.9717
41	0.9721
42	0.9709
43	0.9758
44	0.9759
45	0.9761
46	0.9758
47	0.9783
48	0.9751
49	0.9748
50	0.9734
