Epoch	Score
1	0.1833
2	0.2311
3	0.5854
4	0.7639
5	0.824
6	0.8545
7	0.8806
8	0.8912
9	0.9013
10	0.9179
11	0.9249
12	0.9376
13	0.9394
14	0.9508
15	0.9526
16	0.9568
17	0.9624
18	0.9653
19	0.9652
20	0.9656
21	0.9709
22	0.9696
23	0.9697
24	0.9766
25	0.9747
26	0.977
27	0.9736
28	0.9743
29	0.9789
30	0.9753
31	0.9782
32	0.9779
33	0.9801
34	0.9807
35	0.9783
36	0.9785
37	0.9804
38	0.9813
39	0.9818
40	0.9802
41	0.9792
42	0.9809
43	0.9843
44	0.9844
45	0.9823
46	0.9829
47	0.9829
48	0.9825
49	0.9837
50	0.9829
51	0.9817
52	0.9857
53	0.9833
54	0.9835
55	0.9852
56	0.9837
57	0.9846
58	0.9839
59	0.9829
60	0.9856
61	0.9825
62	0.9847
63	0.9844
64	0.9852
65	0.9849
66	0.985
67	0.985
68	0.9828
69	0.9838
70	0.9859
71	0.9814
72	0.9854
73	0.9848
74	0.9866
75	0.9872
76	0.9876
77	0.986
78	0.9872
79	0.9863
80	0.9856
