Epoch	Score
1	0.216
2	0.4323
3	0.6484
4	0.7405
5	0.7962
6	0.8217
7	0.8328
8	0.8508
9	0.8606
10	0.8649
11	0.8808
12	0.8917
13	0.8911
14	0.9056
15	0.9123
16	0.9105
17	0.9152
18	0.9206
19	0.9249
20	0.9322
21	0.9384
22	0.9393
23	0.9381
24	0.9359
25	0.9429
26	0.9468
27	0.9461
28	0.9535
29	0.9533
30	0.9494
31	0.9531
32	0.9601
33	0.9582
34	0.9545
35	0.9597
36	0.9619
37	0.9538
38	0.9622
39	0.9641
40	0.9656
41	0.9659
42	0.9716
43	0.9689
44	0.9662
45	0.9638
46	0.9694
47	0.9697
48	0.9704
49	0.9689
50	0.9699
