Epoch	Score
1	0.1895
2	0.365
3	0.6104
4	0.7003
5	0.7628
6	0.8093
7	0.8418
8	0.8606
9	0.8767
10	0.8868
11	0.9029
12	0.917
13	0.9209
14	0.9318
15	0.9357
16	0.9475
17	0.9513
18	0.9552
19	0.9607
20	0.9643
21	0.9674
22	0.9706
23	0.9723
24	0.976
25	0.976
26	0.9794
27	0.9805
28	0.9833
29	0.9822
30	0.9828
31	0.984
32	0.9849
33	0.986
34	0.9856
35	0.9869
36	0.9852
37	0.9903
38	0.9868
39	0.9873
40	0.9896
41	0.989
42	0.9887
43	0.99
44	0.9901
45	0.9896
46	0.9889
47	0.9885
48	0.9914
49	0.9906
50	0.9923
51	0.9899
52	0.9913
53	0.9916
54	0.9933
55	0.9922
56	0.9931
57	0.9923
58	0.9927
59	0.9906
60	0.9922
61	0.9926
62	0.9918
63	0.9924
64	0.9918
65	0.993
66	0.9908
67	0.9927
68	0.9937
69	0.9923
70	0.992
71	0.9937
72	0.993
73	0.9922
74	0.9937
75	0.9926
76	0.994
77	0.9925
78	0.9938
79	0.9949
80	0.9949
