Epoch	Score
1	0.1883
2	0.2868
3	0.59
4	0.7456
5	0.8129
6	0.8508
7	0.8748
8	0.8896
9	0.903
10	0.9154
11	0.9256
12	0.9374
13	0.9419
14	0.9492
15	0.9582
16	0.9631
17	0.9649
18	0.967
19	0.9702
20	0.9751
21	0.9757
22	0.9747
23	0.9796
24	0.9779
25	0.984
26	0.9821
27	0.9796
28	0.9821
29	0.9827
30	0.9819
31	0.9858
32	0.9846
33	0.9854
34	0.9842
35	0.9871
36	0.9862
37	0.9851
38	0.9862
39	0.9878
40	0.9873
41	0.9883
42	0.9876
43	0.9884
44	0.986
45	0.9877
46	0.988
47	0.9901
48	0.9881
49	0.9918
50	0.9903
51	0.988
52	0.9905
53	0.9877
54	0.989
55	0.9889
56	0.9898
57	0.9886
58	0.9928
59	0.9898
60	0.9903
61	0.9894
62	0.9911
63	0.9929
64	0.9903
65	0.9897
66	0.9931
67	0.9901
68	0.9919
69	0.9907
70	0.9912
71	0.9917
72	0.9924
73	0.9926
74	0.99
75	0.9908
76	0.9911
77	0.9908
78	0.9916
79	0.9906
80	0.9923
