Epoch	Score
1	0.1893
2	0.3912
3	0.6365
4	0.7375
5	0.7942
6	0.8374
7	0.8634
8	0.8818
9	0.8964
10	0.9056
11	0.9248
12	0.93
13	0.9376
14	0.9484
15	0.9497
16	0.9575
17	0.9598
18	0.9679
19	0.9705
20	0.9717
21	0.9748
22	0.9737
23	0.9756
24	0.9807
25	0.9805
26	0.9815
27	0.9798
28	0.9853
29	0.9842
30	0.9835
31	0.9838
32	0.9835
33	0.9848
34	0.9853
35	0.9832
36	0.9865
37	0.9875
38	0.9857
39	0.9872
40	0.987
41	0.9865
42	0.9877
43	0.9885
44	0.9889
45	0.9873
46	0.9867
47	0.9883
48	0.9901
49	0.9898
50	0.9886
51	0.989
52	0.988
53	0.9877
54	0.9892
55	0.9886
56	0.9912
57	0.9891
58	0.989
59	0.9894
60	0.9912
61	0.9901
62	0.9881
63	0.9896
64	0.9886
65	0.9889
66	0.9886
67	0.9907
68	0.9911
69	0.9907
70	0.9908
71	0.9897
72	0.9895
73	0.9906
74	0.9921
75	0.9893
76	0.9909
77	0.9926
78	0.9917
79	0.9926
80	0.9922
