Epoch	Score
1	0.1726
2	0.1903
3	0.2245
4	0.3893
5	0.4987
6	0.5662
7	0.605
8	0.6438
9	0.671
10	0.6979
11	0.7222
12	0.7454
13	0.7625
14	0.7788
15	0.7863
16	0.802
17	0.8164
18	0.8299
19	0.8316
20	0.8484
21	0.8503
22	0.8623
23	0.8637
24	0.8705
25	0.8763
26	0.8908
27	0.8858
28	0.8967
29	0.9022
30	0.9024
31	0.9055
32	0.9122
33	0.9136
34	0.9134
35	0.9242
36	0.9248
37	0.9309
38	0.9282
39	0.9335
40	0.9358
41	0.938
42	0.9417
43	0.9413
44	0.9442
45	0.9441
46	0.9487
47	0.9552
48	0.9541
49	0.9551
50	0.9516
51	0.9564
52	0.9608
53	0.9608
54	0.9608
55	0.9611
56	0.9632
57	0.9609
58	0.9693
59	0.9646
60	0.9677
61	0.9686
62	0.9698
63	0.9715
64	0.9752
65	0.9688
66	0.9722
67	0.9704
68	0.9707
69	0.9713
70	0.9742
71	0.9748
72	0.9754
73	0.9747
74	0.9691
75	0.9754
76	0.9746
77	0.9765
78	0.9783
79	0.9812
80	0.9797
