Epoch	Score
1	0.1895
2	0.2071
3	0.3971
4	0.6168
5	0.7438
6	0.8059
7	0.8303
8	0.8525
9	0.8705
10	0.8752
11	0.8903
12	0.8975
13	0.9024
14	0.9108
15	0.9184
16	0.9236
17	0.9265
18	0.9334
19	0.9371
20	0.9408
21	0.9447
22	0.945
23	0.9515
24	0.9556
25	0.9564
26	0.9622
27	0.9637
28	0.9672
29	0.968
30	0.9734
31	0.9738
32	0.9761
33	0.9755
34	0.9782
35	0.9779
36	0.9811
37	0.9835
38	0.9852
39	0.9854
40	0.9855
41	0.9852
42	0.988
43	0.9875
44	0.9889
45	0.9894
46	0.9914
47	0.9912
48	0.9917
49	0.9935
50	0.9934
51	0.9914
52	0.9917
53	0.9933
54	0.9926
55	0.9947
56	0.995
57	0.9931
58	0.9944
59	0.9936
60	0.9953
61	0.994
62	0.995
63	0.9962
64	0.9951
65	0.9942
66	0.9945
67	0.9956
68	0.9969
69	0.9962
70	0.9945
71	0.9961
72	0.9953
73	0.9969
74	0.9959
75	0.9969
76	0.9963
77	0.9967
78	0.9976
79	0.9969
80	0.9973
