Epoch	Score
1	0.175
2	0.1904
3	0.1882
4	0.238
5	0.3916
6	0.4976
7	0.5691
8	0.6166
9	0.6435
10	0.6772
11	0.7014
12	0.7306
13	0.7584
14	0.7709
15	0.7892
16	0.8043
17	0.8131
18	0.8251
19	0.834
20	0.8443
21	0.8535
22	0.8597
23	0.8687
24	0.8731
25	0.8805
26	0.8892
27	0.8901
28	0.8962
29	0.9008
30	0.9065
31	0.9029
32	0.9082
33	0.9121
34	0.9171
35	0.9213
36	0.9227
37	0.9247
38	0.93
39	0.9339
40	0.9348
41	0.9356
42	0.9393
43	0.9484
44	0.9448
45	0.9457
46	0.9478
47	0.9469
48	0.9471
49	0.9502
50	0.9523
51	0.9513
52	0.9599
53	0.9596
54	0.9506
55	0.9592
56	0.9651
57	0.9676
58	0.9579
59	0.964
60	0.9645
61	0.962
62	0.9656
63	0.9681
64	0.9672
65	0.9659
66	0.9756
67	0.9719
68	0.9698
69	0.9738
70	0.9656
71	0.9735
72	0.9739
73	0.9736
74	0.9759
75	0.9783
76	0.9781
77	0.9736
78	0.9757
79	0.9739
80	0.9777
