Epoch	Score
1	0.1807
2	0.1907
3	0.19
4	0.2578
5	0.4794
6	0.5974
7	0.6674
8	0.7111
9	0.7438
10	0.7706
11	0.7938
12	0.8125
13	0.833
14	0.843
15	0.8549
16	0.8626
17	0.8735
18	0.882
19	0.8869
20	0.8952
21	0.8997
22	0.908
23	0.9127
24	0.9221
25	0.9244
26	0.9259
27	0.9317
28	0.9367
29	0.9385
30	0.9403
31	0.9445
32	0.9486
33	0.9492
34	0.9536
35	0.9565
36	0.9578
37	0.9631
38	0.9613
39	0.9648
40	0.9678
41	0.9644
42	0.9698
43	0.9718
44	0.9714
45	0.9773
46	0.9775
47	0.9735
48	0.9785
49	0.9801
50	0.981
51	0.9802
52	0.9768
53	0.9787
54	0.9836
55	0.9813
56	0.9835
57	0.9845
58	0.9862
59	0.9818
60	0.9843
61	0.9821
62	0.9846
63	0.9857
64	0.9871
65	0.9867
66	0.9893
67	0.9884
68	0.9869
69	0.9891
70	0.9883
71	0.9865
72	0.9879
73	0.9878
74	0.9904
75	0.9915
76	0.9907
77	0.9884
78	0.9863
79	0.9897
80	0.9906
