Epoch	Score
1	0.1895
2	0.3183
3	0.6745
4	0.7907
5	0.8355
6	0.8617
7	0.8812
8	0.8918
9	0.9071
10	0.9155
11	0.927
12	0.9331
13	0.9393
14	0.9462
15	0.9523
16	0.9561
17	0.9634
18	0.9654
19	0.9617
20	0.973
21	0.9709
22	0.9746
23	0.9775
24	0.9761
25	0.9803
26	0.9778
27	0.9782
28	0.9843
29	0.9836
30	0.9813
31	0.9853
32	0.9827
33	0.9811
34	0.9851
35	0.9861
36	0.9848
37	0.9852
38	0.9851
39	0.9864
40	0.9882
41	0.9879
42	0.9869
43	0.9869
44	0.9883
45	0.9879
46	0.9874
47	0.9886
48	0.9893
49	0.9899
50	0.989
51	0.9885
52	0.989
53	0.9887
54	0.9901
55	0.9875
56	0.9908
57	0.9918
58	0.9866
59	0.9927
60	0.9917
61	0.9903
62	0.9905
63	0.9906
64	0.9931
65	0.9907
66	0.9887
67	0.9932
68	0.9886
69	0.9918
70	0.9878
71	0.9919
72	0.9919
73	0.9915
74	0.9915
75	0.991
76	0.9928
77	0.9928
78	0.9911
79	0.9939
80	0.9917
