Epoch	Score
1	0.1858
2	0.2017
3	0.474
4	0.7312
5	0.8047
6	0.8416
7	0.8675
8	0.8866
9	0.897
10	0.9068
11	0.9228
12	0.9317
13	0.9369
14	0.9462
15	0.9514
16	0.9553
17	0.9584
18	0.9679
19	0.9645
20	0.9698
21	0.9706
22	0.975
23	0.9742
24	0.9706
25	0.9793
26	0.9799
27	0.977
28	0.9809
29	0.9813
30	0.9809
31	0.982
32	0.9823
33	0.9842
34	0.9866
35	0.9832
36	0.9831
37	0.985
38	0.9855
39	0.9866
40	0.9874
41	0.983
42	0.9865
43	0.9886
44	0.9854
45	0.9867
46	0.9851
47	0.9871
48	0.9892
49	0.9858
50	0.9864
51	0.9871
52	0.99
53	0.9867
54	0.9916
55	0.9902
56	0.9856
57	0.9886
58	0.9853
59	0.9898
60	0.9919
61	0.9889
62	0.9902
63	0.9895
64	0.9878
65	0.9884
66	0.9903
67	0.988
68	0.9897
69	0.9893
70	0.9923
71	0.9883
72	0.9901
73	0.9933
74	0.9888
75	0.9884
76	0.9912
77	0.9893
78	0.9909
79	0.9909
80	0.9907
