Epoch	Score
1	0.1894
2	0.3081
3	0.6559
4	0.7926
5	0.8343
6	0.863
7	0.8758
8	0.8884
9	0.9007
10	0.9109
11	0.9227
12	0.9239
13	0.9335
14	0.9369
15	0.9424
16	0.9474
17	0.9472
18	0.9588
19	0.9573
20	0.9558
21	0.961
22	0.9653
23	0.9625
24	0.9635
25	0.9658
26	0.9691
27	0.9718
28	0.9668
29	0.9756
30	0.9706
31	0.9738
32	0.9761
33	0.971
34	0.9707
35	0.9792
36	0.9764
37	0.9792
38	0.9753
39	0.9802
40	0.9778
41	0.9808
42	0.9798
43	0.9765
44	0.98
45	0.979
46	0.9823
47	0.9831
48	0.9821
49	0.9801
50	0.9776
51	0.9825
52	0.9816
53	0.9815
54	0.9841
55	0.9785
56	0.9809
57	0.988
58	0.9814
59	0.9811
60	0.9845
61	0.9793
62	0.9787
63	0.981
64	0.9839
65	0.9878
66	0.9867
67	0.9843
68	0.9836
69	0.9856
70	0.9864
71	0.9816
72	0.9846
73	0.9838
74	0.9872
75	0.987
76	0.9854
77	0.9865
78	0.9862
79	0.9856
80	0.9829
