Epoch	Score
1	0.1892
2	0.1957
3	0.4224
4	0.6774
5	0.7747
6	0.8173
7	0.8505
8	0.8605
9	0.8779
10	0.8957
11	0.9034
12	0.9141
13	0.9207
14	0.9254
15	0.9334
16	0.941
17	0.9474
18	0.9518
19	0.956
20	0.9598
21	0.9631
22	0.9701
23	0.9702
24	0.9687
25	0.9758
26	0.9749
27	0.9757
28	0.982
29	0.9806
30	0.9795
31	0.9816
32	0.9818
33	0.9827
34	0.9821
35	0.9868
36	0.9846
37	0.9883
38	0.9853
39	0.9856
40	0.9871
41	0.9885
42	0.9867
43	0.9869
44	0.9884
45	0.9875
46	0.9911
47	0.9868
48	0.9879
49	0.9911
50	0.9907
51	0.988
52	0.9922
53	0.99
54	0.9925
55	0.9886
56	0.9894
57	0.9931
58	0.992
59	0.9887
60	0.9881
61	0.9926
62	0.9946
63	0.9904
64	0.9911
65	0.993
66	0.9899
67	0.9925
68	0.9934
69	0.9917
70	0.9935
71	0.9913
72	0.9932
73	0.9933
74	0.9913
75	0.991
76	0.9936
77	0.9937
78	0.9962
79	0.9928
80	0.9909
