Epoch	Score
1	0.2618
2	0.5818
3	0.7319
4	0.7853
5	0.8271
6	0.8397
7	0.8578
8	0.8696
9	0.8814
10	0.8854
11	0.9023
12	0.9028
13	0.9136
14	0.9177
15	0.9251
16	0.9265
17	0.9333
18	0.9406
19	0.9364
20	0.939
21	0.9445
22	0.9474
23	0.9502
24	0.9477
25	0.95
26	0.9608
27	0.9542
28	0.9541
29	0.9599
30	0.9627
31	0.9611
32	0.9605
33	0.9606
34	0.9646
35	0.9625
36	0.9643
37	0.9715
38	0.9649
39	0.9651
40	0.9682
41	0.9672
42	0.9727
43	0.9657
44	0.9706
45	0.9699
46	0.9718
47	0.9734
48	0.9734
49	0.9676
50	0.9725
