Epoch	Score
1	0.19
2	0.2551
3	0.5904
4	0.7675
5	0.8258
6	0.8569
7	0.873
8	0.8882
9	0.8985
10	0.911
11	0.9195
12	0.9246
13	0.9357
14	0.9372
15	0.9474
16	0.9546
17	0.9516
18	0.9545
19	0.9612
20	0.9626
21	0.9633
22	0.9642
23	0.9692
24	0.9715
25	0.9697
26	0.9715
27	0.973
28	0.9751
29	0.9727
30	0.9715
31	0.9728
32	0.9787
33	0.9726
34	0.9752
35	0.9764
36	0.9773
37	0.978
38	0.978
39	0.979
40	0.982
41	0.9799
42	0.9796
43	0.9811
44	0.9805
45	0.9817
46	0.9809
47	0.9838
48	0.984
49	0.9827
50	0.978
51	0.9801
52	0.9867
53	0.982
54	0.9857
55	0.9837
56	0.9812
57	0.9815
58	0.985
59	0.9854
60	0.9877
61	0.9843
62	0.9819
63	0.9866
64	0.9857
65	0.9863
66	0.9852
67	0.9848
68	0.9887
69	0.9823
70	0.9837
71	0.9857
72	0.9871
73	0.9893
74	0.9839
75	0.9849
76	0.9856
77	0.9883
78	0.9868
79	0.9863
80	0.9863
