Epoch	Score
1	0.184
2	0.1882
3	0.1898
4	0.1904
5	0.1907
6	0.1888
7	0.2381
8	0.467
9	0.6823
10	0.7709
11	0.812
12	0.8336
13	0.8506
14	0.8695
15	0.8831
16	0.8916
17	0.9038
18	0.9035
19	0.9164
20	0.9229
21	0.9251
22	0.9266
23	0.9358
24	0.941
25	0.9413
26	0.9514
27	0.9492
28	0.9527
29	0.9572
30	0.9591
31	0.959
32	0.9594
33	0.963
34	0.9659
35	0.9642
36	0.9651
37	0.9652
38	0.969
39	0.967
40	0.9743
41	0.9724
42	0.9685
43	0.9723
44	0.9732
45	0.9735
46	0.9773
47	0.9759
48	0.9741
49	0.9746
50	0.9759
51	0.9779
52	0.9763
53	0.9766
54	0.9793
55	0.9813
56	0.9771
57	0.9776
58	0.9816
59	0.9811
60	0.9818
61	0.9803
62	0.979
63	0.9795
64	0.9826
65	0.9764
66	0.9809
67	0.9827
68	0.9772
69	0.9828
70	0.9808
71	0.9851
72	0.9806
73	0.9792
74	0.984
75	0.9819
76	0.9859
77	0.9842
78	0.9838
79	0.9834
80	0.9828
