Epoch	Score
1	0.1888
2	0.2525
3	0.6153
4	0.7776
5	0.8307
6	0.8592
7	0.8799
8	0.8916
9	0.9016
10	0.9124
11	0.9286
12	0.9298
13	0.938
14	0.943
15	0.9493
16	0.9482
17	0.9537
18	0.9591
19	0.9595
20	0.9596
21	0.9628
22	0.9661
23	0.9644
24	0.9726
25	0.97
26	0.9727
27	0.9692
28	0.9745
29	0.9739
30	0.9715
31	0.9743
32	0.9817
33	0.9785
34	0.9818
35	0.977
36	0.9784
37	0.9814
38	0.9812
39	0.9799
40	0.9829
41	0.9809
42	0.9812
43	0.9847
44	0.9798
45	0.9766
46	0.9836
47	0.9818
48	0.9805
49	0.9823
50	0.9829
51	0.9827
52	0.9816
53	0.9813
54	0.9806
55	0.9878
56	0.9836
57	0.9838
58	0.9867
59	0.9871
60	0.9838
61	0.9873
62	0.9876
63	0.9854
64	0.985
65	0.9869
66	0.9839
67	0.9805
68	0.9825
69	0.9872
70	0.9837
71	0.9873
72	0.988
73	0.9899
74	0.9861
75	0.9862
76	0.9821
77	0.987
78	0.9888
79	0.9879
80	0.9902
