Epoch	Score
1	0.1918
2	0.3958
3	0.6442
4	0.7465
5	0.8049
6	0.8464
7	0.8714
8	0.8876
9	0.902
10	0.9162
11	0.925
12	0.9348
13	0.9407
14	0.9456
15	0.9531
16	0.963
17	0.9632
18	0.9667
19	0.9702
20	0.9722
21	0.9731
22	0.9787
23	0.9801
24	0.9777
25	0.9782
26	0.9802
27	0.9818
28	0.9803
29	0.9821
30	0.9848
31	0.9823
32	0.9856
33	0.9865
34	0.9855
35	0.9853
36	0.9855
37	0.9876
38	0.9866
39	0.9856
40	0.9867
41	0.9872
42	0.987
43	0.9879
44	0.9884
45	0.9882
46	0.9875
47	0.9874
48	0.987
49	0.9889
50	0.9897
51	0.9868
52	0.9876
53	0.989
54	0.9911
55	0.9883
56	0.9904
57	0.989
58	0.9874
59	0.9893
60	0.9895
61	0.989
62	0.9885
63	0.9888
64	0.9894
65	0.9918
66	0.9886
67	0.9893
68	0.9891
69	0.9911
70	0.9893
71	0.9906
72	0.9895
73	0.9888
74	0.9893
75	0.9911
76	0.9924
77	0.9893
78	0.9917
79	0.9898
80	0.9908
