Epoch	Score
1	0.1931
2	0.3927
3	0.662
4	0.7652
5	0.8123
6	0.8403
7	0.8647
8	0.8767
9	0.8909
10	0.8988
11	0.9108
12	0.9215
13	0.9292
14	0.9383
15	0.9427
16	0.9515
17	0.9551
18	0.9635
19	0.964
20	0.9687
21	0.9703
22	0.9719
23	0.9733
24	0.9757
25	0.9796
26	0.9815
27	0.9816
28	0.9835
29	0.9872
30	0.9833
31	0.9839
32	0.9846
33	0.9843
34	0.9855
35	0.9852
36	0.9871
37	0.9866
38	0.988
39	0.9876
40	0.9888
41	0.9875
42	0.9887
43	0.9896
44	0.9899
45	0.9896
46	0.9903
47	0.9905
48	0.9888
49	0.9908
50	0.9891
51	0.9909
52	0.9896
53	0.992
54	0.9918
55	0.9901
56	0.9923
57	0.9902
58	0.9909
59	0.9919
60	0.9907
61	0.9915
62	0.9921
63	0.9924
64	0.9932
65	0.991
66	0.992
67	0.9924
68	0.9925
69	0.9938
70	0.993
71	0.9927
72	0.9913
73	0.9938
74	0.9922
75	0.9932
76	0.9932
77	0.9943
78	0.9935
79	0.9937
80	0.9943
