Epoch	Score
1	0.1897
2	0.3377
3	0.6447
4	0.775
5	0.8205
6	0.8491
7	0.868
8	0.8822
9	0.8945
10	0.9046
11	0.9126
12	0.9225
13	0.9271
14	0.9359
15	0.9443
16	0.9467
17	0.9517
18	0.9568
19	0.9618
20	0.9639
21	0.9673
22	0.9706
23	0.9717
24	0.9738
25	0.9761
26	0.978
27	0.9764
28	0.9805
29	0.9789
30	0.9809
31	0.9842
32	0.9825
33	0.9801
34	0.9837
35	0.986
36	0.9848
37	0.9866
38	0.9847
39	0.9852
40	0.9882
41	0.9889
42	0.9862
43	0.9875
44	0.985
45	0.9887
46	0.9883
47	0.9899
48	0.989
49	0.9887
50	0.9905
51	0.9911
52	0.9901
53	0.9907
54	0.9885
55	0.9916
56	0.9889
57	0.9915
58	0.9916
59	0.9928
60	0.9927
61	0.9913
62	0.991
63	0.9913
64	0.991
65	0.9909
66	0.9919
67	0.9913
68	0.9929
69	0.9908
70	0.9934
71	0.9914
72	0.9942
73	0.9929
74	0.9922
75	0.9926
76	0.994
77	0.9924
78	0.9958
79	0.9917
80	0.9943
