Epoch	Score
1	0.2595
2	0.6013
3	0.7325
4	0.7833
5	0.8119
6	0.8304
7	0.8514
8	0.8585
9	0.8755
10	0.8772
11	0.8869
12	0.8902
13	0.9019
14	0.9032
15	0.9076
16	0.9138
17	0.9182
18	0.925
19	0.9247
20	0.9278
21	0.9323
22	0.9316
23	0.938
24	0.9423
25	0.9405
26	0.9405
27	0.9436
28	0.9391
29	0.9468
30	0.9473
31	0.9462
32	0.9513
33	0.9492
34	0.9477
35	0.9473
36	0.9548
37	0.9566
38	0.9523
39	0.9582
40	0.9589
41	0.9579
42	0.9566
43	0.9534
44	0.958
45	0.9621
46	0.9631
47	0.9586
48	0.9584
49	0.9625
50	0.9616
