Epoch	Score
1	0.182
2	0.1907
3	0.1909
4	0.1905
5	0.1924
6	0.1988
7	0.2393
8	0.2853
9	0.3449
10	0.4089
11	0.4818
12	0.5551
13	0.6073
14	0.6495
15	0.6848
16	0.7083
17	0.7317
18	0.7479
19	0.7587
20	0.7732
21	0.7834
22	0.7911
23	0.8021
24	0.8111
25	0.8103
26	0.8232
27	0.8292
28	0.8347
29	0.8328
30	0.8425
31	0.8439
32	0.8516
33	0.8557
34	0.8573
35	0.8568
36	0.8645
37	0.8717
38	0.873
39	0.8739
40	0.8775
41	0.8803
42	0.8837
43	0.8806
44	0.8868
45	0.8895
46	0.8902
47	0.8891
48	0.8962
49	0.897
50	0.9022
