Epoch	Score
1	0.1882
2	0.2297
3	0.5686
4	0.7681
5	0.8339
6	0.8571
7	0.881
8	0.8927
9	0.9058
10	0.9148
11	0.9263
12	0.9278
13	0.9348
14	0.9413
15	0.947
16	0.9562
17	0.9512
18	0.956
19	0.9576
20	0.9666
21	0.9627
22	0.9632
23	0.965
24	0.9706
25	0.9675
26	0.9716
27	0.9704
28	0.9726
29	0.9775
30	0.9722
31	0.9744
32	0.9768
33	0.9711
34	0.9761
35	0.9785
36	0.9769
37	0.9797
38	0.9764
39	0.9818
40	0.9783
41	0.9749
42	0.9774
43	0.9791
44	0.9846
45	0.9816
46	0.9858
47	0.985
48	0.9777
49	0.9818
50	0.9814
51	0.9789
52	0.9829
53	0.9774
54	0.9783
55	0.9799
56	0.9863
57	0.9855
58	0.9849
59	0.9837
60	0.9838
61	0.9858
62	0.9885
63	0.9841
64	0.9871
65	0.9868
66	0.9815
67	0.9792
68	0.9785
69	0.983
70	0.9864
71	0.9851
72	0.9823
73	0.9898
74	0.9868
75	0.9883
76	0.9821
77	0.9819
78	0.9859
79	0.9848
80	0.9854
