Epoch	Score
1	0.1962
2	0.3796
3	0.6204
4	0.7411
5	0.7867
6	0.8256
7	0.8431
8	0.8596
9	0.8735
10	0.8836
11	0.8938
12	0.9024
13	0.9057
14	0.9191
15	0.9267
16	0.9265
17	0.9348
18	0.9376
19	0.9412
20	0.9447
21	0.9465
22	0.9505
23	0.9541
24	0.9582
25	0.9621
26	0.9663
27	0.965
28	0.9669
29	0.9657
30	0.9656
31	0.9714
32	0.9717
33	0.9706
34	0.9731
35	0.9795
36	0.9733
37	0.9805
38	0.9786
39	0.9788
40	0.9809
41	0.981
42	0.9801
43	0.9811
44	0.983
45	0.9849
46	0.9843
47	0.9884
48	0.9865
49	0.9898
50	0.9865
