Epoch	Score
1	0.1822
2	0.1906
3	0.1909
4	0.1908
5	0.1931
6	0.2058
7	0.2569
8	0.3057
9	0.3744
10	0.4436
11	0.52
12	0.5876
13	0.6349
14	0.6707
15	0.7045
16	0.7243
17	0.7442
18	0.7626
19	0.7698
20	0.7821
21	0.7918
22	0.8012
23	0.8112
24	0.8167
25	0.8195
26	0.8277
27	0.8348
28	0.8396
29	0.8391
30	0.8469
31	0.8494
32	0.8554
33	0.8619
34	0.858
35	0.8619
36	0.8679
37	0.8768
38	0.8758
39	0.8831
40	0.8801
41	0.8812
42	0.8864
43	0.8828
44	0.8887
45	0.8926
46	0.8942
47	0.8932
48	0.8953
49	0.9001
50	0.9065
